Code,Violation,Description
PM-304.2,Peeling Paint,"Exterior surfaces not inherently resistant to decay must be treated with a protective coating (paint). Violation occurs when paint is peeling, flaking, or chipped, often indicating a lead hazard."
§ 307-48,Vehicles on Unpaved,"Prohibits parking any motor vehicle on a lawn, dirt, or any unpaved surface in the front or side yard of a residential property."
PM-302.8,Abandoned/Junk Vehicles,"No inoperative or unlicensed motor vehicle shall be parked, kept, or stored on any premises. This includes cars with flat tires, missing parts, or expired tags."
PM-302.4,Overgrown Vegetation,"Grass, weeds, or uncultivated plant growth must not exceed 10 inches in height. This includes ""noxious weeds"" and rank vegetable growth."
PM-304.7,Bad Roof,"Roofs must be structurally sound and weather-tight. Violations include visible holes, the use of temporary tarps as a long-term fix, or heavy discoloration indicating rot or leaks."
PM-304.13,Broken Window,All window glass (glazing) must be free from cracks and holes. Windows must be weather-tight and capable of being held in position by hardware.
PM-304.15,Broken Door,"Exterior doors and hardware must be in good condition, fit strictly within the frame to be weather-tight, and be capable of being locked."
PM-307.1,Rubbish / Garbage,"The accumulation of waste, trash, or debris (scrap wood, metal, tires, household junk) on the exterior property or within the structure."
PM-302.3,Damaged Walk/Driveway,"Sidewalks, walkways, and driveways must be kept in a proper state of repair and free from hazardous conditions like deep cracks, buckling, or crumbling."
PM-304.6,Damaged Siding / Soffit,"Exterior walls and trim must be free from holes, breaks, and loose or rotting materials. Siding must be properly attached to prevent weather entry."
PM-304.5,Damaged Foundation,"Foundation walls must be maintained in good repair, plumb (vertical), and free from open cracks or breaks that could admit rodents or water."
PM-304.10,Damaged Porch / Steps,"Every exterior stairway, porch, and balcony must be structurally sound, in good repair, and capable of supporting the weight of people using them."
PM-108.1,Abandoned / Unsafe,A structure that is vacant and unsecured (open at doors/windows) or is so damaged/dilapidated that it is determined to be dangerous to human life.
